distance,mean,std_dev
713,0.330000,0.566657
714,0.323000,0.571551
715,0.344000,0.581089
716,0.325000,0.572167
717,0.315000,0.575999
718,0.311000,0.538775
719,0.368000,0.574957
720,0.348000,0.557580
721,0.317000,0.560813
722,0.286000,0.521732
723,0.326000,0.552923
724,0.287000,0.557343
725,0.352000,0.586597
726,0.314000,0.530475
727,0.338000,0.572500
728,0.327000,0.611613
729,0.349000,0.597661
730,0.322000,0.558852
731,0.332000,0.574261
732,0.316000,0.565813
733,0.284000,0.526635
734,0.319000,0.541515
735,0.286000,0.538706
736,0.345000,0.567428
737,0.303000,0.532157
738,0.315000,0.561939
739,0.283000,0.535641
740,0.304000,0.545513
741,0.308000,0.545102
742,0.286000,0.531229
743,0.294000,0.532507
744,0.346000,0.590156
745,0.304000,0.534401
746,0.292000,0.552029
747,0.295000,0.542195
748,0.314000,0.539818
749,0.319000,0.565012
750,0.288000,0.526361
751,0.290000,0.519519
752,0.320000,0.541849
753,0.290000,0.547631
754,0.310000,0.554887
755,0.278000,0.506671
756,0.289000,0.530546
757,0.331000,0.570473
758,0.294000,0.539967
759,0.282000,0.531485
760,0.262000,0.495334
761,0.330000,0.585747
762,0.320000,0.560000
763,0.311000,0.533178
764,0.307000,0.539213
765,0.321000,0.565649
766,0.302000,0.533663
767,0.284000,0.526635
768,0.305000,0.551339
769,0.293000,0.557809
770,0.311000,0.551615
771,0.270000,0.532071
772,0.276000,0.511687
773,0.291000,0.538813
774,0.294000,0.532507
775,0.304000,0.536269
776,0.304000,0.552797
777,0.277000,0.525615
778,0.300000,0.538516
779,0.271000,0.515324
780,0.314000,0.532357
781,0.308000,0.543264
782,0.280000,0.517301
783,0.315000,0.545688
784,0.303000,0.550628
785,0.286000,0.534980
786,0.325000,0.570417
787,0.309000,0.567026
788,0.270000,0.516817
789,0.296000,0.566025
790,0.312000,0.555568
791,0.298000,0.541476
792,0.301000,0.531412
793,0.309000,0.568787
794,0.293000,0.543278
795,0.283000,0.524320
796,0.274000,0.518579
797,0.262000,0.487192
798,0.292000,0.524153
799,0.264000,0.494271
800,0.268000,0.492114
801,0.271000,0.526839
802,0.280000,0.517301
803,0.288000,0.530147
804,0.277000,0.516015
805,0.278000,0.546549
806,0.276000,0.519446
807,0.285000,0.525143
808,0.283000,0.528120
809,0.274000,0.512761
810,0.266000,0.499243
811,0.289000,0.519114
812,0.285000,0.530825
813,0.280000,0.511468
814,0.287000,0.537244
815,0.284000,0.536045
816,0.308000,0.548759
817,0.271000,0.536245
818,0.285000,0.536447
819,0.288000,0.526361
820,0.268000,0.500176
821,0.289000,0.530546
822,0.283000,0.539362
823,0.267000,0.517408
824,0.253000,0.494966
825,0.316000,0.562267
826,0.284000,0.532301
827,0.243000,0.515704
828,0.300000,0.542218
829,0.277000,0.521796
830,0.231000,0.475015
831,0.292000,0.542896
832,0.271000,0.499559
833,0.292000,0.535477
834,0.236000,0.460765
835,0.264000,0.496290
836,0.270000,0.512933
837,0.256000,0.494433
838,0.292000,0.537342
839,0.269000,0.506595
840,0.277000,0.494238
841,0.305000,0.549523
842,0.318000,0.541180
843,0.260000,0.500400
844,0.248000,0.510388
845,0.292000,0.533607
846,0.264000,0.506265
847,0.274000,0.518579
848,0.270000,0.509019
849,0.282000,0.525810
850,0.251000,0.487851
851,0.260000,0.512250
852,0.282000,0.520073
853,0.265000,0.498773
854,0.260000,0.492341
855,0.252000,0.522011
856,0.251000,0.505963
857,0.292000,0.520323
858,0.272000,0.504000
859,0.265000,0.504752
860,0.286000,0.517884
861,0.258000,0.499436
862,0.265000,0.514563
863,0.256000,0.523893
864,0.247000,0.479574
865,0.283000,0.535641
866,0.258000,0.493392
867,0.292000,0.553838
868,0.242000,0.464151
